Location,Disturbance,start,end,Period.Year.Start,Cover_Start,Period.Year.End,Cover_End,relative.cover.percent,absolute.cover
Eagle Ray,BL24,11/14/24,4/12/25,2024.Annual.start,3.088333333,2025.PostBL.end,2.513333333,-18.62,-0.58
Fish Bay,BL05,10/6/05,7/3/06,2005.PeakBL.start,13.2,2006.Annual.end,8.833333333,-33.08,-4.37
Fish Bay,SCTLD,3/5/20,10/19/21,2020.PostBL.start,8.168333333,2021.Annual.end,9.06,10.92,0.89
Fish Bay,BL23,10/13/23,2/16/24,2023.Annual.start,6.298333333,2024.PostBL.end,6.346666667,0.77,0.05
Fish Bay,BL24,10/24/24,5/8/25,2024.Annual.start,5.185,2025.PostBL.end,5.845,12.73,0.66
Flat Cay,BL05,9/27/05,6/28/06,2005.PeakBL.start,23.235,2006.Annual.end,14.415,-37.96,-8.82
Flat Cay,Storm17,10/4/16,12/12/17,2016.Annual.start,19.14666667,2017.Annual.end,19.15666667,0.05,0.01
Flat Cay,SCTLD,11/28/18,10/30/19,2018.Annual.start,19.50833333,2019.Annual.end,8.273333333,-57.59,-11.23
Flat Cay,BL23,10/17/23,2/15/24,2023.Annual.start,6.015,2024.PostBL.end,7.293333333,21.25,1.28
Flat Cay,BL24,10/22/24,3/27/25,2024.Annual.start,5.915,2025.PostBL.end,5.326666667,-9.95,-0.59
Ginsburg Fringe,BL23,10/26/23,5/22/24,2023.Annual.start,4.365,2024.PostBL.end,4.855,11.23,0.49
Ginsburg Fringe,BL24,1/17/25,2/26/25,2024.Annual.start,4.051666667,NA.NA.end,NA,NA,NA
Grammanik Tiger FSA,BL05,10/4/05,7/26/06,2005.PeakBL.start,30.57166667,2006.Annual.end,29.99166667,-1.9,-0.58
Grammanik Tiger FSA,SCTLD,12/6/19,7/16/20,2019.Annual.start,25.67166667,2020.SCTLD.end,27.77833333,8.21,2.11
Grammanik Tiger FSA,BL23,12/5/23,4/8/24,2023.Annual.start,18.825,2024.PostBL.end,17.42833333,-7.42,-1.4
Grammanik Tiger FSA,BL24,11/22/24,4/8/25,2024.Annual.start,16.20666667,2025.PostBL.end,12.135,-25.12,-4.07
Great Pond,BL05,8/17/05,12/9/06,2005.Annual.start,6.583333333,2006.Annual.end,2.98,-54.73,-3.6
