Location,Loc_Code,FilmDate,Disturbance,Loc_Disturbance,Bound,Notes,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2017-12-05,Storm17,BIT_Storm17,end,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2018-03-28,ID,BIT_ID,,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2018-11-26,ID,BIT_ID,,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2019-10-29,SCTLD,BIT_SCTLD,start,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2020-02-26,SCTLD,BIT_SCTLD,interval,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2020-06-30,SCTLD,BIT_SCTLD,interval,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2020-11-05,SCTLD,BIT_SCTLD,end,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2021-11-05,ID,BIT_ID,,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2022-10-17,ID,BIT_ID,,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2023-10-19,BL23,BIT_BL23,start,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2024-04-22,BL23,BIT_BL23,end,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2024-10-18,BL24,BIT_BL24,start,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2025-03-20,BL24,BIT_BL24,end,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2001-08-10,ID,BIX_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2002-01-14,ID,BIX_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2003-03-29,ID,BIX_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2003-05-04,ID,BIX_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2004-05-05,ID,BIX_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2005-08-09,BL05,BIX_BL05,start,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2006-03-03,BL05,BIX_BL05,end,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2006-12-11,ID,BIX_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2007-09-25,ID,BIX_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2008-09-04,ID,BIX_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2009-10-07,ID,BIX_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2010-08-10,ID,BIX_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2011-07-19,ID,BIX_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2012-08-13,ID,BIX_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2013-08-13,ID,BIX_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2014-12-09,ID,BIX_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2015-10-01,ID,BIX_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2016-10-11,Storm17,BIX_Storm17,start,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2018-02-25,Storm17,BIX_Storm17,end,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2018-11-01,ID,BIX_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2019-10-15,ID,BIX_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2019-12-03,SCTLD,BIX_SCTLD,start,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2021-03-12,SCTLD,BIX_SCTLD,interval,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2021-11-11,SCTLD,BIX_SCTLD,end,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2022-10-17,ID,BIX_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2023-11-09,BL23,BIX_BL23,start,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2024-03-13,BL23,BIX_BL23,end,,,,,,,,,,,,,,,,,,
